Date,Total-Deaths,New-Deaths,Percent-Change
"[""Jan. 25,. 2021 ""]","2,148,753","9,658",0%
"[""Jan. 24,. 2021 ""]","2,139,095","9,848",0%
"[""Jan. 23,. 2021 ""]","2,129,247","14,184",1%
"[""Jan. 22,. 2021 ""]","2,115,063","16,060",1%
"[""Jan. 21,. 2021 ""]","2,099,003","16,760",1%
"[""Jan. 20,. 2021 ""]","2,082,243","17,487",1%
"[""Jan. 19,. 2021 ""]","2,064,756","14,802",1%
"[""Jan. 18,. 2021 ""]","2,049,954","9,447",0%
"[""Jan. 17,. 2021 ""]","2,040,507","9,477",0%
"[""Jan. 16,. 2021 ""]","2,031,030","13,616",1%
"[""Jan. 15,. 2021 ""]","2,017,414","14,942",1%
"[""Jan. 14,. 2021 ""]","2,002,472","15,698",1%
"[""Jan. 13,. 2021 ""]","1,986,774","16,578",1%
"[""Jan. 12,. 2021 ""]","1,970,196","16,077",1%
"[""Jan. 11,. 2021 ""]","1,954,119","9,607",0%
"[""Jan. 10,. 2021 ""]","1,944,512","9,375",0%
"[""Jan. 9,. 2021 ""]","1,935,137","12,842",1%
"[""Jan. 8,. 2021 ""]","1,922,295","15,107",1%
"[""Jan. 7,. 2021 ""]","1,907,188","14,950",1%
"[""Jan. 6,. 2021 ""]","1,892,238","14,905",1%
